,state,county,zip_code,Rate
0,NY,Suffolk,500,4.81
1,NY,Suffolk,6300,4.81
2,NY,Suffolk,11700,4.81
3,NY,Suffolk,11800,4.81
4,NY,Suffolk,11900,4.81
5,MA,Hampden,1000,6.77
6,MA,Hampden,1100,6.77
7,MA,Hampden,1500,6.77
8,MA,Hampshire,1000,4.42
9,MA,Hampshire,1200,4.42
10,MA,Worcester,1000,5.30
11,MA,Worcester,1300,5.30
12,MA,Worcester,1400,5.30
13,MA,Worcester,1500,5.30
14,MA,Worcester,1600,5.30
15,MA,Worcester,1700,5.30
16,MA,Berkshire,1000,5.57
17,MA,Berkshire,1200,5.57
18,MA,Berkshire,1300,5.57
19,MA,Franklin,1000,4.53
20,MA,Franklin,1300,4.53
21,MA,Middlesex,1400,4.06
22,MA,Middlesex,1700,4.06
23,MA,Middlesex,1800,4.06
24,MA,Middlesex,2100,4.06
25,MA,Middlesex,2200,4.06
26,MA,Middlesex,2400,4.06
27,MA,Essex,1800,5.17
28,MA,Essex,1900,5.17
29,MA,Essex,5500,5.17
30,MA,Plymouth,2000,5.23
31,MA,Plymouth,2300,5.23
32,MA,Plymouth,2500,5.23
33,MA,Plymouth,2700,5.23
34,MA,Norfolk,2000,4.35
35,MA,Norfolk,2100,4.35
36,MA,Norfolk,2200,4.35
37,MA,Norfolk,2300,4.35
38,MA,Norfolk,2400,4.35
39,MA,Norfolk,2700,4.35
40,MA,Bristol,2000,6.29
41,MA,Bristol,2300,6.29
42,MA,Bristol,2700,6.29
43,MA,Suffolk,2100,4.63
44,MA,Suffolk,2200,4.63
45,MA,Barnstable,2500,6.37
46,MA,Barnstable,2600,6.37
47,MA,Dukes,2500,7.20
48,MA,Dukes,2700,7.20
49,MA,Nantucket,2500,6.09
50,RI,Newport,2800,5.18
51,RI,Providence,2800,6.39
52,RI,Providence,2900,6.39
53,RI,Washington,2800,5.48
54,RI,Bristol,2800,5.09
55,RI,Kent,2800,5.51
56,NH,Hillsborough,3000,3.61
57,NH,Hillsborough,3100,3.61
58,NH,Hillsborough,3200,3.61
59,NH,Hillsborough,3400,3.61
60,NH,Rockingham,3000,3.64
