state,zip_code,Rate
AK,99500,8.48
AK,99600,8.69
AK,99700,8.41
AK,99800,7.64
AK,99900,9.00
AL,35000,5.96
AL,35100,5.93
AL,35200,5.01
AL,35400,7.80
AL,35500,6.92
AL,35600,6.70
AL,35700,5.83
AL,35800,5.48
AL,35900,5.98
AL,36000,7.06
AL,36100,6.16
AL,36200,6.16
AL,36300,6.21
AL,36400,8.79
AL,36500,8.02
AL,36600,7.00
AL,36700,9.24
AL,36800,6.26
AL,36900,8.54
AR,71600,7.21
AR,71700,6.28
AR,71800,5.85
AR,71900,5.84
AR,72000,5.80
AR,72100,5.82
AR,72200,4.73
AR,72300,7.05
AR,72400,6.70
AR,72500,6.46
AR,72600,5.48
AR,72700,3.81
AR,72800,5.48
AR,72900,5.01
AZ,85000,5.17
AZ,85200,6.48
AZ,85300,9.21
AZ,85500,7.77
AZ,85600,6.43
AZ,85700,5.54
AZ,85900,9.40
AZ,86000,9.42
AZ,86300,6.07
AZ,86400,7.29
AZ,86500,11.55
CA,90600,4.48
CA,90700,4.48
CA,91300,5.68
CA,91700,6.72
CA,92200,15.37
CA,92300,6.27
CA,92500,6.72
CA,92600,4.48
CA,92700,4.48
CA,92800,5.60
CA,93000,5.68
CA,93200,10.64
CA,93300,10.21
CA,93400,8.16
CA,93500,7.40
CA,93600,10.20
CA,93700,10.18
CA,93800,10.18
CA,93900,8.16
CA,94200,6.00
CA,94500,5.16
CA,94600,4.74
CA,94700,4.74
CA,94900,4.02
CA,95000,8.16
CA,95200,6.43
CA,95300,8.83
CA,95400,6.00
CA,95500,7.19
CA,95600,7.28
CA,95700,5.73
CA,95800,6.00
CA,95900,9.20
CA,96000,8.51
CA,96100,7.73
CO,80000,3.69
CO,80100,3.74
CO,80200,3.85
CO,80300,3.18
CO,80400,3.32
CO,80500,3.43
CO,80600,3.98
CO,80700,3.10
CO,80800,3.27
CO,80900,4.62
CO,81000,4.66
CO,81100,5.10
CO,81200,4.27
CO,81300,4.00
CO,81400,4.37
CO,81500,5.56
CO,81600,4.24
CT,6000,5.23
CT,6100,5.87
CT,6200,5.50
CT,6300,6.21
CT,6400,5.31
CT,6600,5.27
CT,6700,5.15
CT,6800,5.27
CT,6900,5.27
DE,19900,5.19
FL,32000,5.53
FL,32100,6.30
FL,32200,5.80
FL,32300,5.73
FL,32400,5.60
FL,32500,4.90
FL,32600,5.63
FL,32700,5.42
FL,32800,5.45
FL,32900,5.90
FL,33000,4.83
FL,33100,5.90
FL,33200,5.90
FL,33300,5.10
FL,33400,7.00
FL,33500,6.13
FL,33600,5.00
FL,33700,4.90
FL,33800,6.58
FL,33900,7.20
FL,34100,5.15
FL,34200,5.00
FL,34400,6.78
FL,34600,5.87
FL,34700,6.02
FL,34900,5.75
GA,30000,5.62
GA,30100,5.90
GA,30200,6.57
GA,30300,6.00
GA,30400,7.87
GA,30500,5.81
GA,30600,6.09
GA,30700,6.09
GA,30800,7.38
GA,30900,6.20
GA,31000,7.56
GA,31100,6.00
GA,31200,6.60
GA,31300,5.66
GA,31400,5.80
GA,31500,6.70
GA,31600,6.35
GA,31700,7.13
GA,31800,7.45
GA,31900,7.40
GA,39900,6.00
HI,96700,3.93
HI,96800,3.39
IA,50000,3.50
IA,50100,3.69
IA,50200,3.60
IA,50300,3.58
IA,50400,3.38
IA,50500,3.61
IA,50600,3.88
IA,50800,3.35
IA,50900,3.58
IA,51000,3.53
IA,51100,3.72
IA,51200,2.39
IA,51300,3.48
IA,51400,3.36
IA,51500,3.66
IA,51600,3.46
IA,52000,4.00
IA,52100,4.15
IA,52200,3.76
IA,52300,3.68
IA,52400,3.71
IA,52500,4.14
IA,52600,3.94
IA,52700,3.83
IA,52800,4.61
ID,83200,4.63
ID,83300,3.60
ID,83400,3.89
ID,83500,5.92
ID,83600,5.45
ID,83700,3.59
ID,83800,6.02
IL,60000,5.77
IL,60100,6.04
IL,60200,6.09
IL,60300,6.09
IL,60400,6.11
IL,60500,5.70
IL,60600,6.09
IL,60700,6.09
IL,60800,6.09
IL,60900,5.98
IL,61000,6.27
IL,61100,7.09
IL,61200,6.07
IL,61300,6.11
IL,61400,6.38
IL,61500,6.56
IL,61600,6.61
IL,61700,5.82
IL,61800,5.82
IL,61900,5.52
IL,62000,6.44
IL,62200,5.44
IL,62300,5.24
IL,62400,6.17
IL,62500,6.37
IL,62600,5.73
IL,62700,5.28
IL,62800,6.36
IL,62900,7.56
IN,46000,4.14
IN,46100,4.65
IN,46200,4.17
IN,46300,5.93
IN,46400,6.78
IN,46500,4.50
IN,46700,4.11
IN,46800,4.55
IN,46900,4.87
IN,47000,5.05
IN,47100,4.96
IN,47200,4.32
IN,47300,5.40
IN,47400,5.86
IN,47500,4.16
IN,47600,4.04
IN,47700,4.25
IN,47800,6.06
IN,47900,4.99
KS,66000,4.80
KS,66100,6.09
KS,66200,3.41
KS,66400,3.98
KS,66500,3.98
KS,66600,4.30
KS,66700,5.67
